Array Size,Serial Time,Parallel Time
100000,0.012125,0.003125
200000,0.026875,0.006375
300000,0.0415,0.0135
400000,0.057,0.01525
500000,0.072625,0.018875
600000,0.088125,0.023125
700000,0.11475,0.026375
800000,0.119875,0.031
900000,0.135625,0.032875
1000000,0.157125,0.03875
