Array Size,Serial Time,Parallel Time
100000,0.012,0.003
200000,0.027,0.007
300000,0.04175,0.01025
400000,0.05725,0.015
500000,0.07225,0.01825
600000,0.088,0.023
700000,0.104,0.02625
800000,0.11975,0.03
900000,0.13625,0.03325
1000000,0.152,0.037
