Array Size,Serial Time,Parallel Time
100000,0.012,0.00625
200000,0.027,0.01425
300000,0.0415,0.022
400000,0.057,0.03025
500000,0.07225,0.038
600000,0.08825,0.046
700000,0.1045,0.055
800000,0.1205,0.06275
900000,0.136,0.071
1000000,0.152,0.07925
