Array Size,Serial Time,Parallel Time
100000,0.01225,3.3165
200000,0.027,1.7035
300000,0.0425,2.99825
400000,0.058,1.19375
500000,0.07275,3.514
600000,0.0885,1.68125
700000,0.105,2.10425
800000,0.12,1.875
900000,0.1355,3.4545
1000000,0.15225,1.00625
