Array Size,Serial Time,Parallel Time
100000,0.01325,0.0125
200000,0.027,0.027
300000,0.04125,0.0415
400000,0.05725,0.057
500000,0.07275,0.07275
600000,0.088,0.08825
700000,0.1045,0.10525
800000,0.1195,0.12025
900000,0.1355,0.13575
1000000,0.152,0.15275
