Array Size,Serial Time,Parallel Time
100000,0.012,0.02275
200000,0.027125,0.024625
300000,0.0415,0.02275
400000,0.059125,0.040375
500000,0.07275,0.0295
600000,0.092125,0.042875
700000,0.109625,0.044875
800000,0.124625,0.06
900000,0.13575,0.04975
1000000,0.152375,0.059875
