Array Size,Serial Time,Parallel Time
100000,0.012125,1.61862
200000,0.027,1.08762
300000,0.041875,1.67425
400000,0.057125,1.60725
500000,0.08,1.43487
600000,0.09475,1.40837
700000,0.113,2.71125
800000,0.12025,1.66675
900000,0.14325,1.55613
1000000,0.15225,1.17137
