Array Size,Serial Time,Parallel Time
100000,0.012375,0.003625
200000,0.027125,0.008875
300000,0.041375,0.012375
400000,0.062,0.01725
500000,0.0785,0.021375
600000,0.088,0.027625
700000,0.11,0.030125
800000,0.11975,0.03475
900000,0.146625,0.03925
1000000,0.15225,0.04225
