Array Size,Serial Time,Parallel Time
100000,0.01225,0.00375
200000,0.027,0.008
300000,0.04125,0.01225
400000,0.05675,0.017
500000,0.0725,0.022
600000,0.09425,0.026375
700000,0.1095,0.031125
800000,0.119875,0.04175
900000,0.14125,0.04025
1000000,0.154125,0.04625
