Array Size,Serial Time,Parallel Time
100000,0.012,0.03825
200000,0.027,0.025
300000,0.042,0.04525
400000,0.05725,0.0365
500000,0.073,0.0855
600000,0.088,0.07525
700000,0.10425,0.056
800000,0.12025,0.0435
900000,0.13575,0.0615
1000000,0.15225,0.0595
