Array Size,Serial Time,Parallel Time
100000,0.01275,0.5165
200000,0.02725,0.0915
300000,0.042,0.121
400000,0.057,0.21
500000,0.073,0.19125
600000,0.088,0.12425
700000,0.10475,0.431
800000,0.12,0.41325
900000,0.13525,0.1395
1000000,0.152,0.24675
