Array Size,Serial Time,Parallel Time
100000,0.0155,0.0156667
200000,0.032,0.019
300000,0.0463333,0.0241667
400000,0.0688333,0.0281667
500000,0.0735,0.0445
600000,0.127333,0.0423333
700000,0.144167,0.042
800000,0.0938333,0.0306667
900000,0.116833,0.0358333
1000000,0.126667,0.0391667
