Array Size,Serial Time,Parallel Time
100000,0.013875,0.014625
200000,0.027,0.026875
300000,0.044375,0.04125
400000,0.057125,0.0615
500000,0.0725,0.072625
600000,0.088125,0.088125
700000,0.1045,0.113375
800000,0.124625,0.125125
900000,0.136,0.14125
1000000,0.152625,0.162375
