Array Size,Serial Time,Parallel Time
100000,0.0125,0.166
200000,0.027,0.1545
300000,0.04775,0.1535
400000,0.057125,0.245875
500000,0.073125,0.157875
600000,0.093125,0.20675
700000,0.10475,0.30025
800000,0.120375,0.16775
900000,0.1365,0.164125
1000000,0.157875,0.199375
