Array Size,Serial Time,Parallel Time
1,0.00173929,0.0196796
1000001,0.181823,0.114905
2000001,0.376765,0.230581
3000001,0.570872,0.341749
4000001,0.773798,0.456956
5000001,0.981973,0.578775
6000001,1.18681,0.706252
7000001,1.39898,0.831632
8000001,1.6042,0.940777
9000001,1.82194,1.05648
