Array Size,Serial Time,Parallel Time
100000,0.01225,0.004
200000,0.027,0.008
300000,0.0415,0.012
400000,0.057,0.017
500000,0.0725,0.022
600000,0.088,0.026
700000,0.1045,0.031
800000,0.12,0.036
900000,0.1355,0.04
1000000,0.15275,0.045
